Mesh	Scale	X	Y	Z	R	G	B	Rotation_X	Rotation_Y	Rotation_Z	Physics	Wireframe
Seafloor2.ply	50	0	-0.5	0	0.59	0.29	0	0	0	0	0	0
tree1.ply	5	0	0	0	0	0.5	0	0	0	0	0	0
tree2.ply	5	10	0	0	0	0.5	0	0	0	0	0	0
tree3.ply	5	-10	0	0	0	0.5	0	0	0	0	0	0
tree4.ply	5	5	0	10	0	0.5	0	0	0	0	0	0
Trees.ply	5	-5	0	-10	0	0.5	0	0	0	0	0	0
bun_zipper_res3_XYZ.ply	0.5	5	0	-10	0	0	0	0	6	0	0	0
bun_zipper_res3_XYZ.ply	0.6	-5	0	10	1	1	1	0	3	0	0	0
bun_zipper_res3_XYZ.ply	0.7	-2.5	0	5	0.5	0	0	0	3	0	0	0
bun_zipper_res3_XYZ.ply	0.8	2.5	0	5	0	0.5	0	0	4	0	0	0
bun_zipper_res3_XYZ.ply	0.9	2.5	0	-5	0	0	0.5	0	6	0	0	0
bun_zipper_res3_XYZ.ply	0.8	-2.5	0	-5	0.5	0.5	0.5	0	1	0	0	0
bun_zipper_res3_XYZ.ply	0.7	-10	0	-10	0.5	0.5	0	0	1	0	0	0
bun_zipper_res3_XYZ.ply	0.6	10	0	-10	0.5	0	0.5	0	6	0	0	0
bun_zipper_res3_XYZ.ply	0.5	0	0	10	0	0.5	0.5	0	3.5	0	0	0
